id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
5,Private,5,Yes,Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,No,10 or less cigarettes/day,No,Yes,31 to 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Marlboro or any other philip morris cigaret,Heets (IQOS),Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,28,Nabatieh,Graduate degree (MA/MS),Business owner,,Engaged,,Yes,5,Own business income,,Fully in Lebanese Lira,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Very,Never,Between 2 and 3 hours,Frequently,Employed
11,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,No,10 or less cigarettes/day,Yes,No,31 to 60 minutes,All others,14,The number of cigarettes I smoke per day has decreased,Marlboro gold,Davidoff evolve,No,"Yes, I am currently using a cheaper alternative",Male,20,Beirut,High school degree or equivalent (e.g. GED),Student only,,Single,,Yes,5,Parents,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Unemployed
14,Private,5,Yes,Disagree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Cedars,Cedars,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,I don't know,High: completely covers necessities with a few luxury items,4,Moderately,Every day or at least 5 times every week,More than 4 hours,Constantly,Employed
15,Private,5,Yes,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,No,11 to 20 cigarettes,No,Yes,6 to 30 minutes,All others,16,The number of cigarettes I smoke per day has remained the same,parliament / cohiba / winston blue,i stayed smoking winston but now i switched to using iqos,Yes,"Yes, I am currently using a cheaper alternative",Male,21,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,Yes,5,Parents,,Mixed,,I don't know,Medium: covers all basic needs,5,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed
16,Private,5,Yes,Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,Winston Red Packet,Winston Red Packet,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,21,Beirut,Incomplete bachelor's degree,Business owner,,Single,,Yes,1,Investment,,"Other, please specify",,I prefer not to say,Medium: covers all basic needs,6,Slightly,Every day or at least 5 times every week,Less than 1 hour,Never,Employed
31,Private,5,Yes,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,"Marlboro light
Marlboro touch",Marlboro touch,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,20,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,0,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,5,Very,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
35,Private,5,Yes,Disagree strongly,Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,16,The number of cigarettes I smoke per day has decreased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,No,2,Job,,Mixed,,I prefer not to say,Medium: covers all basic needs,3,Moderately,Never,Between 2 and 3 hours,Constantly,Employed
36,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,I don't smoke cigarettes but I smoke IQOS.,IQOS,No,"Yes, I am currently using a cheaper alternative",Female,18,Mount Lebanon,High school degree or equivalent (e.g. GED),Student only,,Single,,Yes,4,Parents,,Fully in Lebanese Lira,,I don't know,Medium: covers all basic needs,4,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Constantly,Unemployed
42,Private,5,Yes,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree strongly,Agree moderately,Agree a little,Disagree strongly,No,11 to 20 cigarettes,Yes,No,After 60 minutes,The first one in the morning,23,The number of cigarettes I smoke per day has increased,Marlboro Gold / Marlboro Medium,Kent Silver,No,"Yes, I am currently using a cheaper alternative",Male,25,Beirut,Bachelor's degree (BA/BS),Student only,,Single,,Yes,1,"Other, please specify",,"Other, please specify",,I prefer not to say,Low: barely covers basic needs for a month,1,Extremely,Never,Between 1 hour and 2 hours,Constantly,Unemployed
52,Private,5,Yes,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,19,Mount Lebanon,Bachelor's degree (BA/BS),Student with a part-time or full-time job,,Single,,Yes,2,Parents,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Moderately,Often or at least 3 days every week,More than 4 hours,Frequently,Employed
